index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"['爱', '/zh/entry?entryID=c_36f2bae2', '[ài]', '(사람·사물 등을) 사랑하다.', '1급']","['八', '/zh/entry?entryID=c_31fdbbe9', '[bā]', '8. 팔. 여덟.', '1급']","['爸爸', '/zh/entry?entryID=c_3efbbbf4', '[bàba]', '아빠. 아버지.', '1급']","['北京', '/zh/entry?entryID=c_3bf2b5e6c8', '[Běijīng]', '베이징. [중국의 수도로서 ‘京’이라 약칭함. 중국 행정 구역 등급으로는 ‘...', '1급']","['杯子', '/zh/entry?entryID=c_3bf1b8e3c7', '[bēizi]', '(술·물·차 등 음료의) 잔. 컵.', '1급']","['本', '/zh/entry?entryID=c_3bfdbbe3d6', '[běn]', '(～儿) 책. 공책.', '1급']","['不', '/zh/entry?entryID=c_3cf6b9e2cd', '[bù]', '(동사·형용사 또는 기타 부사 앞에서) 부정(否定)을 나타냄.', '1급']","['不客气', '/zh/entry?entryID=c_3cf1b4e3c4', '[búkèqi]', '사양하지 않다. 체면 차리지 않다.', '1급']","['菜', '/zh/entry?entryID=c_3ff7b4ecd6', '[cài]', '채소. 야채. 푸성귀. 남새.', '1급']","['茶', '/zh/entry?entryID=c_3ef6b5e0c9', '[chá]', '차나무.', '1급']","['吃', '/zh/entry?entryID=c_30f7b5e0bc', '[chī]', '먹다. 마시다. 빨다. 피우다.', '1급']","['出租车', '/zh/entry?entryID=c_3af6b8e1ab74', '[chūzūchē]', '택시.', '1급']","['大', '/zh/entry?entryID=c_3af5bdefaf8a', '[dà]', '(부피·면적 등이) 크다. 넓다. (수량이) 많다. (힘·강도 등이) 세다....', '1급']","['打电话', '/zh/entry?entryID=c_3cf8bbe6ad0e90', '[dǎdiànhuà]', '전화를 걸다. 전화하다.', '1급']","['的', '/zh/entry?entryID=c_3af3bae0aa71', '[de]', '관형어 뒤에 쓰여, 관형어와 중심어 사이가 종속 관계임을 나타냄.', '1급']","['点', '/zh/entry?entryID=c_3af0bae3aa71', '[diǎn]', '(～儿) 약간. 조금.', '1급']","['电脑', '/zh/entry?entryID=c_3af0b8e0a96b', '[diànnǎo]', '컴퓨터(computer).', '1급']","['电视', '/zh/entry?entryID=c_3af0b9e7a46e', '[diànshì]', '텔레비전. [사물의 영상 정보를 전기 신호로 전송하는 통신 방식]', '1급']","['电影(儿)', '/zh/entry?entryID=c_3af0b9e0ae71', '[diànyǐng(r)]', '(종합 예술로서의) 영화.', '1급']","['东西', '/zh/entry?entryID=c_3af1b9e6ad77', '[dōngxi]', '(구체적인 혹은 추상적인) 것. 물건. 사물. 물품.', '1급']"
1,"['都', '/zh/entry?entryID=c_3af1b7e3a56a', '[dōu]', '모두. 다. 전부. [일반적으로 총괄하는 내용앞에 쓰임]', '1급']","['读', '/zh/entry?entryID=c_3afebde3ad85', '[dú]', '글을 소리내어 읽다. 낭독하다.', '1급']","['对不起', '/zh/entry?entryID=c_3afeb9e1ac7e', '[duìbuqǐ]', '미안합니다. 죄송합니다.', '1급']","['多', '/zh/entry?entryID=c_3afeb7e1a878', '[duō]', '(수량이) 많다.', '1급']","['多少', '/zh/entry?entryID=c_3affbee4a47f', '[duōshǎo]', '얼마간. 약간. 다소. 좀.', '1급']","['二', '/zh/entry?entryID=c_3affb8e7af87', '[èr]', '2. 둘.', '1급']","['儿子', '/zh/entry?entryID=c_3affbaefa486', '[érzi]', '아들.', '1급']","['饭店', '/zh/entry?entryID=c_39f6b8e5ac78', '[fàndiàn]', '호텔.', '1급']","['飞机', '/zh/entry?entryID=c_39f7bfe0aa79', '[fēijī]', '비행기. 항공기.', '1급']","['分钟', '/zh/entry?entryID=c_3cf8b9e8af088c', '[fēnzhōng]', '분', '1급']","['高兴', '/zh/entry?entryID=c_39f2bae5af79', '[gāoxìng]', '기쁘다. 즐겁다. 좋아하다. 유쾌하다. 흥겹다. 흐뭇하다. 신나다. 신명나다.', '1급']","['个', '/zh/entry?entryID=c_39f2b6e1ab6d', '[gè]', '개. 사람. 명. [개개의 사람이나 물건에 쓰임]', '1급']","['工作', '/zh/entry?entryID=c_39f3bce0ad75', '[gōngzuò]', '직업. 일자리.', '1급']","['狗', '/zh/entry?entryID=c_39f3b6e2ad71', '[gǒu]', '개.', '1급']","['汉语', '/zh/entry?entryID=c_39febbefa889', '[Hànyǔ]', '중국어. 한어. 한족(漢族)의 언어.', '1급']","['好', '/zh/entry?entryID=c_39feb6eea883', '[hǎo]', '좋다. 아름답다. 훌륭하다. 만족하다.', '1급']","['号', '/zh/entry?entryID=c_39feb7eea581', '[hào]', '(～儿) (차례나 순번을 표시하는) 번호.', '1급']","['喝', '/zh/entry?entryID=c_39ffbfe6af8c', '[hē]', '마시다.', '1급']","['和', '/zh/entry?entryID=c_39ffbcefab8e', '[hé]', '조화롭다. 화목하다. 화애롭다. 어울리다.', '1급']","['很', '/zh/entry?entryID=c_39ffb9e3a87c', '[hěn]', '매우. 대단히. 아주. 잘. 몹시. 퍽. 정말.', '1급']"
2,"['后面(儿)', '/zh/entry?entryID=c_38f6bde6ab7c', '[hòumiàn(r)]', '뒤. 뒤쪽. 뒷면.', '1급']","['回', '/zh/entry?entryID=c_38f4bfe3a977', '[huí]', '(원래의 곳으로) 되돌리다. 되돌아가다. 되돌아오다.', '1급']","['会', '/zh/entry?entryID=c_38f4bde0aa73', '[huì]', '(배워서) …를 할 수 있다. …할 줄 알다. [이해하거나 능력이 있어서 어...', '1급']","['几', '/zh/entry?entryID=c_38f5b7e1a96e', '[jǐ]', '몇. [숫자가 그렇게 많지 않을 때 사용함]', '1급']","['家', '/zh/entry?entryID=c_38f2bbe4ac75', '[jiā]', '집.', '1급']","['叫', '/zh/entry?entryID=c_38f0bae5af76', '[jiào]', '외치다. 고함치다. 소리지르다. 소리치다. 부르짖다.', '1급']","['今天', '/zh/entry?entryID=c_38f1bce0aa6f', '[jīntiān]', '오늘.', '1급']","['九', '/zh/entry?entryID=c_38febbe6a980', '[jiǔ]', '9. 아홉.', '1급']","['开', '/zh/entry?entryID=c_38ffb6e3ac7c', '[kāi]', '열다. 열치다. 틀다. 켜다.', '1급']","['看', '/zh/entry?entryID=c_3ff6bce4af84', '[kàn]', '보다. 구경하다.', '1급']","['看见', '/zh/entry?entryID=c_3ff6bce0a576', '[kànjiàn]', '보다. 보이다. 눈에 띄다.', '1급']","['块', '/zh/entry?entryID=c_3ff7b8efa885', '[kuài]', '덩이. 덩어리.', '1급']","['来', '/zh/entry?entryID=c_3ff4bae0a471', '[lái]', '오다.', '1급']","['老师', '/zh/entry?entryID=c_3ff5bce5a57a', '[lǎoshī]', '선생님. 스승.', '1급']","['了', '/zh/entry?entryID=c_3ff5bae5ab7e', '[le]', '동사 또는 형용사 뒤에 쓰여 동작 또는 변화가 이미 완료되었음을 나타냄.', '1급']","['冷', '/zh/entry?entryID=c_3ff5b8e7ab7e', '[lěng]', '춥다. 차다. 시리다.', '1급']","['里', '/zh/entry?entryID=c_3ff5b7e1ac78', '[lǐ]', '이웃. 인근.', '1급']","['六', '/zh/entry?entryID=c_3ff0bce4ae7d', '[liù]', '6. 육. 여섯.', '1급']","['吗', '/zh/entry?entryID=c_3ff1b9efae86', '[ma]', '문장 끝에 쓰여 의문의 어기를 나타냄.', '1급']","['买', '/zh/entry?entryID=c_3ff1b9eeaa81', '[mǎi]', '사다. 매입하다. 구매하다.', '1급']"
3,"['妈妈', '/zh/entry?entryID=c_3ff1bbe4af7e', '[māma]', '엄마. 어머니.', '1급']","['猫', '/zh/entry?entryID=c_3ffebce0aa83', '[māo]', '고양이.', '1급']","['没关系', '/zh/entry?entryID=c_3ffebbe1a982', '[méiguānxi]', '괜찮다. 상관 없다. 문제 없다. 염려 없다.', '1급']","['没有', '/zh/entry?entryID=c_3ffeb8e7a581', '[méiyǒu]', '없다. 가지고〔갖추고〕 있지 않다. [소유·구비의 부정을 나타냄]', '1급']","['米饭', '/zh/entry?entryID=c_3fffbce1a984', '[mǐfàn]', '(입쌀이나 좁쌀로 지은) 밥.', '1급']","['明天', '/zh/entry?entryID=c_3ef6bfe2ae83', '[míngtiān]', '내일. 명일.', '1급']","['名字', '/zh/entry?entryID=c_3ef6bee2af83', '[míngzi]', '성과 이름. 성명.', '1급']","['哪', '/zh/entry?entryID=c_3ef7bee0af82', '[nǎ]', '무엇. 어느 것. [의문을 나타내며, 단독으로 쓰임. ‘什么(무엇)’와 같은...', '1급']","['那', '/zh/entry?entryID=c_3ef7beefa486', '[nà]', '그. 저. [비교적 멀리 떨어진 사람이나 사물을 가리킴. 양사나 수량사 혹은...', '1급']","['哪儿', '/zh/entry?entryID=c_3ef7beefa98b', '[nǎr]', '어디. 어느 곳. [처소를 물음]', '1급']","['呢', '/zh/entry?entryID=c_3ef7b8e4a879', '[ne]', '서술문 뒤에 쓰여 동작이나 상황이 지속됨을 나타냄.', '1급']","['能', '/zh/entry?entryID=c_3ef7b6e6ac7d', '[néng]', '…할 수 있다. …할 줄 안다. …할 힘이 있다.', '1급']","['你', '/zh/entry?entryID=c_3ef7b7e2ae7c', '[nǐ]', '너. 자네. 당신.', '1급']","['年', '/zh/entry?entryID=c_3ef4bee1ac7d', '[nián]', '년. 해.', '1급']","['女儿', '/zh/entry?entryID=c_3ef4b6e6a472', ""[nǚ'ér]"", '딸.', '1급']","['朋友', '/zh/entry?entryID=c_3ef2bee4a577', '[péngyou]', '친구. 벗.', '1급']","['漂亮', '/zh/entry?entryID=c_3ef2b9e1ab75', '[piàoliang]', '예쁘다. 아름답다. 곱다. 어여쁘다. 아리땁다. 미려하다. 보기 좋다.', '1급']","['苹果', '/zh/entry?entryID=c_3ef3bfefaf8e', '[píngguǒ]', '사과.', '1급']","['七', '/zh/entry?entryID=c_3ef3b8e4a572', '[qī]', '7. 일곱.', '1급']","['钱', '/zh/entry?entryID=c_3ef1bee5ac7e', '[qián]', '화폐.', '1급']"
4,"['前面(儿)', '/zh/entry?entryID=c_3ef0b7e4ae77', '[qiánmian(r)]', '(공간·위치 상의) 앞.', '1급']","['请', '/zh/entry?entryID=c_3efebbe0a980', '[qǐng]', '청하다. 부탁하다. 요구하다. 신청하다.', '1급']","['去', '/zh/entry?entryID=c_3effbfeeaa94', '[qù]', '(‘来(오다)’와 상대되는 말로) 가다.', '1급']","['热', '/zh/entry?entryID=c_3effb6e1ac80', '[rè]', '덥다. 뜨겁다.', '1급']","['人', '/zh/entry?entryID=c_3effb7eea88a', '[rén]', '사람. 인간.', '1급']","['认识', '/zh/entry?entryID=c_3df6bde2ac7e', '[rènshi]', '알다. 인식하다.', '1급']","['三', '/zh/entry?entryID=c_3df7bbe7ab81', '[sān]', '삼. 셋. 3.', '1급']","['上', '/zh/entry?entryID=c_3df4b6e4aa75', '[shàng]', '위.', '1급']","['商店', '/zh/entry?entryID=c_3df4b9e5a574', '[shāngdiàn]', '상점. 판매점.', '1급']","['上午', '/zh/entry?entryID=c_3df5bee0ad7d', '[shàngwǔ]', '오전. 상오. [밤 0시부터 낮 12시까지의 시간]', '1급']","['少', '/zh/entry?entryID=c_3df5bce3ae7f', '[shǎo]', '적다.', '1급']","['谁', '/zh/entry?entryID=c_3df5b8e6ab7b', '[shéi]', '누. 누구.', '1급']","['什么', '/zh/entry?entryID=c_3df5b6e1ae77', '[shénme]', '의문을 나타냄.', '1급']","['十', '/zh/entry?entryID=c_3df2b7e1af76', '[shí]', '열. 십. 10.', '1급']","['是', '/zh/entry?entryID=c_3df3b7e0a86f', '[shì]', '맞다. 옳다.', '1급']","['时候', '/zh/entry?entryID=c_3df3bfefa987', '[shíhou]', '때. 시각. 무렵.', '1급']","['书', '/zh/entry?entryID=c_3df0b9e1ad74', '[shū]', '책.', '1급']","['水', '/zh/entry?entryID=c_3df1b8e2ac74', '[shuǐ]', '물. [원소 기호는 H₂O임]', '1급']","['水果', '/zh/entry?entryID=c_3df1b9e4ac77', '[shuǐguǒ]', '과일. 과실.', '1급']","['睡觉', '/zh/entry?entryID=c_3dfebee6ac8b', '[shuìjiào]', '(잠을) 자다.', '1급']"
5,"['说', '/zh/entry?entryID=c_3dfebfe5ab8a', '[shuō]', '말하다. 이야기하다.', '1급']","['四', '/zh/entry?entryID=c_3dfeb8eea485', '[sì]', '4. 사. 넷.', '1급']","['岁', '/zh/entry?entryID=c_3dffbaeeae92', '[suì]', '살. 세. [연령을 세는 단위]', '1급']","['他', '/zh/entry?entryID=c_3dffb9e4a47d', '[tā]', '그. 그 사람. 그이. [현대 문어(文語)에서는 일반적으로 남성을 가리킴. ...', '1급']","['她', '/zh/entry?entryID=c_3dffb9e1af85', '[tā]', '그녀. 그 여자.', '1급']","['太', '/zh/entry?entryID=c_3dffb7e2a479', '[tài]', '최고의.', '1급']","['天气', '/zh/entry?entryID=c_3cf7bbe7a87d', '[tiānqì]', '날씨. 일기.', '1급']","['听', '/zh/entry?entryID=c_3cf4bce3ac7b', '[tīng]', '듣다.', '1급']","['同学', '/zh/entry?entryID=c_3cf4b9e6a574', '[tóngxué]', '한 학교에서 배우다. 같은 학교〔학과〕를 다니다.', '1급']","['喂', '/zh/entry?entryID=c_3cf3bbe4a472', '[wéi]', '(전화상에서) 여보세요.', '1급']","['我', '/zh/entry?entryID=c_3cf0bde5a977', '[wǒ]', '나. 저.', '1급']","['我们', '/zh/entry?entryID=c_3cf0bde4ab78', '[wǒmen]', '우리(들).', '1급']","['五', '/zh/entry?entryID=c_3cf0b7e5a870', '[wǔ]', '5. 다섯. 다섯째.', '1급']","['下', '/zh/entry?entryID=c_3cfebce6ad89', '[xià]', '밑. 아래.', '1급']","['想', '/zh/entry?entryID=c_3cffbbefad92', '[xiǎng]', '생각하다.', '1급']","['先生', '/zh/entry?entryID=c_3cfebbeeaa8d', '[xiānsheng]', '선생님. 씨. [성인 남성에 대한 경칭]', '1급']","['现在', '/zh/entry?entryID=c_3cffbee1a882', '[xiànzài]', '지금. 현재. 이제.', '1급']","['小', '/zh/entry?entryID=c_3cffb7e3af84', '[xiǎo]', '(부피·면적·나이·수량·규모·역량·정도 등이) 작다. 적다. 약하다. 어리다...', '1급']","['小姐', '/zh/entry?entryID=c_33f6bfe7a574', '[xiǎojiě]', '아씨. 아가씨. [하인이 주인집의 시집 가지 않은 딸을 부르던 말]', '1급']","['下午', '/zh/entry?entryID=c_3cfebae5ae87', '[xiàwǔ]', '오후. [정오부터 해가 질 때 까지의 동안]', '1급']"
6,"['下雨', '/zh/entry?entryID=c_3cfebae2a97f', '[xiàyǔ]', '비가 오다〔내리다〕.', '1급']","['些', '/zh/entry?entryID=c_33f6bbe6ab75', '[xiē]', '조금. 약간. 몇. [명사 앞에 쓰여 확정적이지 않은 적은 수량을 나타냄]', '1급']","['写', '/zh/entry?entryID=c_33f6b9e5ac73', '[xiě]', '글씨를 쓰다.', '1급']","['谢谢', '/zh/entry?entryID=c_33f6b6e5ac70', '[xièxie]', '감사합니다. 고맙습니다.', '1급']","['喜欢', '/zh/entry?entryID=c_3cf1b6e1af73', '[xǐhuan]', '좋아하다. 호감을 가지다. 흥미를 느끼다. 마음에 들다. 애호하다. 사랑하다.', '1급']","['星期', '/zh/entry?entryID=c_33f7bae0ae72', '[xīngqī]', '칠요(일). 칠치(七値). 주(週). 주일.', '1급']","['学生', '/zh/entry?entryID=c_33f4b6e1aa68', '[xuésheng]', '학생.', '1급']","['学习', '/zh/entry?entryID=c_33f4b6eead78', '[xuéxí]', '학습하다. 공부하다. 배우다.', '1급']","['学校', '/zh/entry?entryID=c_33f4b6eeab76', '[xuéxiào]', '학교.', '1급']","['一', '/zh/entry?entryID=c_33f3bde0a86b', '[yī]', '하나. 일.', '1급']","['一点儿', '/zh/entry?entryID=c_33f3bae0ac6c', '[yìdiǎnr]', '조금. [불확정적인 수량]', '1급']","['衣服', '/zh/entry?entryID=c_33f3b7e4a869', '[yīfu]', '옷. 의복.', '1급']","['医生', '/zh/entry?entryID=c_33f3b7efaa76', '[yīshēng]', '의사. 의원. [의학 지식을 갖추고 질병 예방과 치료를 직업으로 하는 사람의...', '1급']","['医院', '/zh/entry?entryID=c_33f0bee7ad75', '[yīyuàn]', '병원.', '1급']","['椅子', '/zh/entry?entryID=c_33f0bae2a968', '[yǐzi]', '의자.', '1급']","['有', '/zh/entry?entryID=c_33feb8e5a573', '[yǒu]', '있다. [존재를 나타냄]', '1급']","['月', '/zh/entry?entryID=c_32f6bde2a56c', '[yuè]', '달.', '1급']","['在', '/zh/entry?entryID=c_32f6b7eeab78', '[zài]', '존재하다. 생존하다.', '1급']","['再见', '/zh/entry?entryID=c_32f6b7e1a565', '[zàijiàn]', '(인사말로) 또 뵙겠습니다. 안녕히 계십시오〔가십시오〕. 안녕.', '1급']","['怎么', '/zh/entry?entryID=c_32f7bae0ac6f', '[zěnme]', '어떻게. 어째서. 왜. [방식·원인·성질·사정 등을 물음]', '1급']"
7,"['怎么样', '/zh/entry?entryID=c_32f7bae0ae71', '[zěnmeyàng]', '별로〔그리〕 …않다. [주로 부정형과 반문형으로 쓰여 완곡한 어기를 나타냄]', '1급']","['这', '/zh/entry?entryID=c_32f4b8e5a568', '[zhè]', '이것. [불특정한 사람이나 사물을 가리킴. ‘那(저것)’와 호응하여 쓰임]', '1급']","['中国', '/zh/entry?entryID=c_32f2b8e7a86b', '[Zhōngguó]', '수도. 경사(京師). [옛날의 수도를 가리키는 말]', '1급']","['中午', '/zh/entry?entryID=c_32f2b9e6a467', '[zhōngwǔ]', '정오. 낮 12시 전후.', '1급']","['住', '/zh/entry?entryID=c_32f3b8e4a566', '[zhù]', '숙박하다. 묵다. 유숙하다. 정착하다. 살다. 거주하다.', '1급']","['桌子', '/zh/entry?entryID=c_32f0bae4a464', '[zhuōzi]', '탁자. 테이블.', '1급']","['字', '/zh/entry?entryID=c_32f1beefa979', '[zì]', '문자. 글자.', '1급']","['坐', '/zh/entry?entryID=c_32f1b7e2a460', '[zuò]', '앉다.', '1급']","['做', '/zh/entry?entryID=c_32febeefa481', '[zuò]', '하다. 종사하다.', '1급']","['昨天', '/zh/entry?entryID=c_32f1b6e7aa6a', '[zuótiān]', '어제.', '1급']",,,,,,,,,,
8,"['吧', '/zh/entry?entryID=c_3efcb7f1', '[ba]', '문장 맨 끝에 쓰여, 상의·제의·청유·기대·명령 등의 어기를 나타냄.', '2급']","['白', '/zh/entry?entryID=c_3efdb1ec', '[bái]', '하얗다. 희다.', '2급']","['百', '/zh/entry?entryID=c_38f6bde1cc', '[bǎi]', '백. 100.', '2급']","['帮助', '/zh/entry?entryID=c_38fcb4edd5', '[bāngzhù]', '돕다. 원조하다. 보좌하다.', '2급']","['报纸', '/zh/entry?entryID=c_3bf7b4ecd2', '[bàozhǐ]', '신문.', '2급']","['比', '/zh/entry?entryID=c_3af6b8e2ca', '[bǐ]', '비교하다. 재다. 겨루다.', '2급']","['别', '/zh/entry?entryID=c_3df7bce7d7', '[bié]', '이별하다. 헤어지다.', '2급']","['宾馆', '/zh/entry?entryID=c_3df7b4e7cf', '[bīnguǎn]', '(규모가 비교적 큰) 호텔.', '2급']","['长', '/zh/entry?entryID=c_3ef3bbe5d1', '[cháng]', '(길이가) 길다.', '2급']","['唱歌(儿)', '/zh/entry?entryID=c_31f5b8e3c1', '[chànggē(r)]', '노래 부르다.', '2급']","['出', '/zh/entry?entryID=c_3af6bae7a475', '[chū]', '나가다. 나오다.', '2급']","['穿', '/zh/entry?entryID=c_3af7bee4af82', '[chuān]', '(옷·신발·양말 등을) 입다. 신다', '2급']","['次', '/zh/entry?entryID=c_3af4bee1ac79', '[cì]', '다음 가다〔이다〕. 두 번째이다. 버금가다.', '2급']","['从', '/zh/entry?entryID=c_3af4bfe0a875', '[cóng]', '따르다. 좇다.', '2급']","['错', '/zh/entry?entryID=c_3af4b6e7aa75', '[cuò]', '틀리다. 맞지 않다.', '2급']","['大家', '/zh/entry?entryID=c_3af5b8e3a973', '[dàjiā]', '모두. 다들. [일정 범위 내의 모든 사람을 가리킴]', '2급']","['打篮球', '/zh/entry?entryID=c_3cf8bbe6ad0f91', '[dǎlánqiú]', '농구를 하다', '2급']","['但是', '/zh/entry?entryID=c_3af2bbeeaa7f', '[dànshì]', '그러나. 그렇지만. [주로 ‘虽然·尽管’ 등과 호응하여 쓰임]', '2급']","['到', '/zh/entry?entryID=c_3af3bfe4a575', '[dào]', '도달하다. 도착하다. (어느 곳에) 이르다.', '2급']","['得', '/zh/entry?entryID=c_3af3baefad83', '[de]', '동사 뒤에 쓰여 가능을 나타냄. [부정을 할 때는 ‘不得’를 사용함]', '2급']"
9,"['等', '/zh/entry?entryID=c_3af3b8e7ad79', '[děng]', '등급.', '2급']","['弟弟', '/zh/entry?entryID=c_3af0bce2a56d', '[dìdi]', '아우. 친남동생.', '2급']","['第一', '/zh/entry?entryID=c_3af0bde4a46f', '[dìyī]', '제1. 최초. 첫(번)째. 맨 처음.', '2급']","['懂', '/zh/entry?entryID=c_3af1b9efa477', '[dǒng]', '알다. 이해하다. 터득하다. 정통하다.', '2급']","['对', '/zh/entry?entryID=c_3afeb9e3a478', '[duì]', '맞다. 옳다. 정확하다. 정상이다.', '2급']","['对', '/zh/entry?entryID=c_3cf8bce9aa0a8d', '[duì]', '…에 대해(서). …에 대하여. [동작이나 행위의 대상을 이끌어 냄]', '2급']","['房间', '/zh/entry?entryID=c_39f6b7e6a874', '[fángjiān]', '방.', '2급']","['非常', '/zh/entry?entryID=c_39f7bce2aa78', '[fēicháng]', '대단히. 매우. 심히. 아주.', '2급']","['服务员', '/zh/entry?entryID=c_39f4b8e4a972', '[fúwùyuán]', '(서비스업의) 종업원. 웨이터. 보이(boy). 승무원. 접대원.', '2급']","['高', '/zh/entry?entryID=c_39f2bce7a977', '[gāo]', '(높이가) 높다.', '2급']","['告诉', '/zh/entry?entryID=c_39f2bbe0ac72', '[gàosu]', '말하다. 알리다.', '2급']","['哥哥', '/zh/entry?entryID=c_39f2b8e5ad75', '[gēge]', '형. 오빠.', '2급']","['给', '/zh/entry?entryID=c_39f2b7e1a96c', '[gěi]', '주다.', '2급']","['公共汽车', '/zh/entry?entryID=c_39f3bde3a874', '[gōnggòngqìchē]', '버스.', '2급']","['公司', '/zh/entry?entryID=c_39f3bae5a46f', '[gōngsī]', '회사. 직장.', '2급']","['贵', '/zh/entry?entryID=c_39f1b8e7a871', '[guì]', '(가격이나 가치가) 높다. 비싸다. 귀하다. 귀중하다.', '2급']","['过', '/zh/entry?entryID=c_39f1b7e0a566', '[guo]', '동사 뒤에 쓰여 동작의 완료를 나타냄.', '2급']","['还', '/zh/entry?entryID=c_39febfe1ae85', '[hái]', '여전히. 아직도. 아직. [동작이나 상태가 그대로 유지되어 지속됨을 나타냄....', '2급']","['孩子', '/zh/entry?entryID=c_39febfe0ac82', '[háizi]', '애. 어린이. (어린)아이. 아동.', '2급']","['好吃', '/zh/entry?entryID=c_39feb7e7ac81', '[hǎochī]', '맛있다. 맛나다.', '2급']"
